"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20220430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","145.83","202204","9","470,000","19","2005","선릉로 206","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","1027","1027","0000","래미안대치팰리스","114.15","202204","23","488,000","2","2015","삼성로51길 37","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","985","0985","0000","래미안대치하이스턴","110.39","202201","8","280,000","14","1989","도곡로93길 12","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","893","0893","0000","롯데캐슬","135.73","202203","5","294,000","12","2002","삼성로85길 11","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","506","0506","0000","선경1차(1동-7동)","117.7","202204","11","384,000","10","1983","삼성로 151","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","506","0506","0000","선경1차(1동-7동)","84.35","202204","11","320,000","13","1983","삼성로 151","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌(890-49)","28.34","202203","10","25,000","12","2004","테헤란로64길 9","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","65","0065","0000","쌍용대치2","120.76","202202","11","309,000","7","1983","영동대로 220","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","66","0066","0000","쌍용대치아파트1동,2동,3동,5동,6동","83.56","202201","28","270,000","12","1983","영동대로 210","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202201","11","249,000","9","1979","삼성로 212","","중개거래","서울 강남구, 서울 동작구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202202","8","214,000","1","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","84.43","202202","22","255,000","4","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","316","0316","0000","은마","76.79","202203","17","228,000","2","1979","삼성로 212","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202202","3","38,000","15","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202202","4","43,600","23","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","35.51","202203","10","42,200","23","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-6","0891","0006","테헤란로대우아이빌(891-6)","33.11","202203","28","34,000","3","2004","테헤란로 428","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","511","0511","0000","한보미도맨션2","190.47","202204","14","430,000","11","1985","삼성로 150","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","953-1","0953","0001","SK허브프리모","33.8","202201","18","37,400","8","2006","강남대로 240","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","953-1","0953","0001","SK허브프리모","33.8","202202","18","36,800","8","2006","강남대로 240","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","190-3","0190","0003","그랜빌캐슬","125.83","202203","29","130,500","2","2003","남부순환로379길 35","","직거래","-"
"서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","130.545","202202","14","277,000","31","1999","언주로30길 13","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-6","0467","0006","대림아크로빌","146.754","202203","31","295,000","38","1999","언주로30길 13","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.89","202202","5","24,000","7","2004","강남대로 256","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","952","0952","0000","대우디오빌","25.89","202203","17","23,800","8","2004","강남대로 256","","중개거래","서울 송파구"
"서울특별시 강남구 도곡동","543-7","0543","0007","도곡1차아이파크","130.259","202203","12","283,000","27","2007","도곡로28길 8","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","543-7","0543","0007","도곡1차아이파크","84.122","202204","15","195,000","1","2007","도곡로28길 8","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","970","0970","0000","도곡3차아이파크","187.215","202204","4","310,000","5","2007","도곡로14길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","970","0970","0000","도곡3차아이파크","181.381","202204","14","310,000","8","2007","도곡로14길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","84.9984","202203","14","313,000","16","2006","선릉로 221","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","527","0527","0000","도곡렉슬","176.9924","202204","20","580,000","7","2006","선릉로 221","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","933","0933","0000","도곡쌍용예가","107.53","202203","8","222,000","11","1978","남부순환로363길 30","","중개거래","경기 남양주시, 서울 강남구"
"서울특별시 강남구 도곡동","934-10","0934","0010","도곡우성아파트","84.83","202203","29","210,000","8","1986","남부순환로363길 49","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","199-4","0199","0004","도곡지웰카운티101동","107.11","202203","10","190,000","4","2010","남부순환로373길 3","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","199-4","0199","0004","도곡지웰카운티101동","107.11","202204","26","180,000","3","2010","남부순환로373길 3","","직거래","-"
"서울특별시 강남구 도곡동","184-3","0184","0003","도곡현대힐스테이트105동","164.9","202203","30","225,000","4","1999","남부순환로377길 22","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","59.98","202202","23","225,000","20","2016","도곡로 320","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","538-3","0538","0003","래미안도곡카운티","106.39","202203","11","344,000","4","2016","도곡로 320","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","84.97","202203","27","232,000","11","1995","논현로 213","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","963","0963","0000","럭키(963)","84.97","202204","1","225,000","7","1995","논현로 213","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","966","0966","0000","매봉삼성","59.82","202203","24","160,000","6","1999","언주로 203","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","161","0161","0000","삼성","84.91","202201","15","220,000","5","1994","남부순환로379길 14","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","91-5","0091","0005","삼성래미안","89.88","202202","16","245,000","1","2001","남부순환로 2803","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","202","0202","0000","상지리츠빌카일룸","210.5","202203","17","610,000","2","2018","남부순환로373길 23","","중개거래","서울 성동구"
"서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","122.07","202201","6","220,000","22","2004","언주로30길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","122.07","202202","26","220,000","11","2004","언주로30길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-7","0467","0007","아카데미스위트1","83","202204","1","168,000","23","2004","언주로30길 21","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","463-1","0463","0001","우성사원5","70.89","202202","11","230,000","9","1986","언주로29길 34","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","463-1","0463","0001","우성사원5","78.99","202202","19","234,000","3","1986","언주로29길 34","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","965","0965","0000","중명하니빌","30.58","202201","14","49,500","5","1997","남부순환로365길 5","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","164.95","202202","19","435,000","10","2002","언주로30길 56","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","121.42","202202","23","370,000","39","2002","언주로30길 56","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","154.35","202201","12","410,000","42","2003","언주로30길 57","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","164.99","202202","10","404,000","11","2003","언주로30길 57","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","160.56","202202","21","380,000","4","2003","언주로30길 57","20220331","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","160.56","202202","21","380,000","4","2003","언주로30길 57","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-17","0467","0017","타워팰리스2","124.11","202203","29","335,000","40","2003","언주로30길 57","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","163.567","202201","27","420,000","42","2004","언주로30길 26","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","124.641","202202","10","300,000","52","2004","언주로30길 26","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","141.381","202202","21","370,000","33","2004","언주로30길 26","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-29","0467","0029","타워팰리스3","244.224","202203","30","554,000","63","2004","언주로30길 26","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","972","0972","0000","한라비발디","84.9569","202203","15","204,350","10","2016","남부순환로365길 33","","중개거래","경기 성남중원구, 서울 강남구"
"서울특별시 강남구 도곡동","464","0464","0000","한신(개포)","83.86","202201","23","281,000","5","1985","언주로 123","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-19","0467","0019","현대비젼21","35.48","202201","14","50,000","20","1999","언주로30길 10","","중개거래","서울 강남구"
"서울특별시 강남구 도곡동","467-19","0467","0019","현대비젼21","33.1","202202","4","42,000","20","1999","언주로30길 10","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-7","0142","0007","LG선릉에클라트(A)","36.16","202202","21","34,800","5","2003","선릉로100길 42","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-7","0142","0007","LG선릉에클라트(A)","36.16","202203","23","34,750","5","2003","선릉로100길 42","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","202202","22","40,200","11","2004","테헤란로63길 12","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","202202","25","36,700","10","2004","테헤란로63길 12","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.47","202203","2","33,000","13","2004","테헤란로63길 12","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","142-3","0142","0003","LG선릉에클라트(B)","36.35","202204","2","38,200","12","2004","테헤란로63길 12","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","100-14","0100","0014","동일파크스위트","174.15","202201","6","405,000","12","2007","영동대로112길 67","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","115.93","202201","17","501,750","21","2021","삼성로 651","","직거래","-"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","71.9","202201","21","311,500","22","2021","삼성로 651","","직거래","-"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","101.98","202202","4","381,220","7","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","84.99","202202","4","339,983","23","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","189","0189","0000","래미안라클래시","101.98","202202","9","401,430","20","2021","삼성로 651","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","107","0107","0000","미켈란107","83","202201","6","205,000","14","2003","영동대로 602","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","8-2","0008","0002","삼성동브라운스톤레전드","201.65","202204","7","334,000","14","2009","선릉로 660","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","121-38","0121","0038","삼성동신도브래뉴","104.191","202203","23","120,000","6","2010","삼성로103길 12","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","82-1","0082","0001","삼성동헤렌하우스2(82-1)","217.86","202203","11","500,000","6","2010","영동대로128길 45","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","26.5","202202","11","105,000","6","2008","학동로68길 29","","중개거래","서울 강남구, 서울 서초구"
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","31.402","202203","16","127,500","15","2008","학동로68길 29","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","16-2","0016","0002","삼성동힐스테이트 1단지","114.463","202203","25","250,000","16","2008","학동로68길 29","","직거래","-"
"서울특별시 강남구 삼성동","52-9","0052","0009","삼성리치빌1","84.98","202201","28","149,000","4","2003","학동로82길 6","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","65-4","0065","0004","상지리츠빌카일룸(65-4)","237.74","202203","14","570,000","12","2012","삼성로 636","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","87","0087","0000","아이파크","145.046","202201","26","420,000","9","2004","영동대로 640","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","87","0087","0000","아이파크","156.857","202201","28","475,000","6","2004","영동대로 640","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","87","0087","0000","아이파크","175.052","202203","4","600,000","4","2004","영동대로 640","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","87","0087","0000","아이파크","195.388","202204","6","645,000","17","2004","영동대로 640","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","109-21","0109","0021","엘에이치삼성도시형생활주택","27.75","202204","20","41,000","4","2013","영동대로112길 46","","중개거래","경기 성남수정구"
"서울특별시 강남구 삼성동","146","0146","0000","포스코트","160.28","202201","26","281,000","7","2003","봉은사로 510","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","143-37","0143","0037","현대타워(13층-27층)","149.99","202202","15","225,000","26","1998","테헤란로 423","","중개거래","서울 강남구"
"서울특별시 강남구 삼성동","37","0037","0000","호산프라자","28.8","202202","12","35,000","6","1997","선릉로 604","","중개거래","서울 강남구"
"서울특별시 강남구 세곡동","533","0533","0000","세곡푸르지오","84.83","202203","10","160,000","13","2012","자곡로 21","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","799","0799","0000","강남 더샵 포레스트","146.6888","202203","24","348,000","6","2016","광평로34길 35","","중개거래","서울 강남구, 전북 전주완산구"
"서울특별시 강남구 수서동","795","0795","0000","강남데시앙포레","84.81","202203","24","196,000","6","2014","광평로34길 55","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202201","7","105,000","9","1993","광평로19길 10","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202202","15","100,000","9","1993","광평로19길 10","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202203","22","102,250","2","1993","광평로19길 10","","중개거래","경기 성남분당구, 서울 강남구"
"서울특별시 강남구 수서동","746","0746","0000","까치마을","34.44","202203","24","99,000","1","1993","광평로19길 10","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","747","0747","0000","삼성","59.86","202204","13","172,000","7","1997","광평로31길 27","","중개거래","서울 강남구"
"서울특별시 강남구 수서동","736","0736","0000","신동아","33.18","202203","14","115,000","13","1992","광평로47길 17","","중개거래","서울 강남구"
"서울특별시 강남구 신사동","510-11","0510","0011","강남상가","63.31","202203","24","80,000","4","1974","압구정로2길 46","","중개거래","서울 강남구"
"서울특별시 강남구 신사동","606-2","0606","0002","신사아크존2","135.72","202203","17","228,000","2","2005","압구정로34길 49","","중개거래","서울 강남구"
"서울특별시 강남구 신사동","659","0659","0000","압구정대원칸타빌아파트","97.08","202203","21","188,000","3","2001","압구정로48길 15","","중개거래","서울 강남구"
"서울특별시 강남구 신사동","632","0632","0000","압구정하이츠파크","213.05","202201","12","550,000","19","2004","압구정로42길 78","","중개거래","서울 강남구"
"서울특별시 강남구 신사동","626-1","0626","0001","진흥아마란스","175.64","202203","18","183,000","1","2005","언주로157길 23","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","397","0397","0000","미성2차","140.9","202204","6","447,000","10","1987","압구정로 113","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","433","0433","0000","신현대11차","183.41","202203","17","595,000","4","1983","압구정로 151","","직거래","-"
"서울특별시 강남구 압구정동","434","0434","0000","신현대12차","155.52","202203","25","510,000","2","1982","압구정로 151","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","434","0434","0000","신현대12차","155.52","202204","15","590,000","6","1982","압구정로 151","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","490","0490","0000","한양1차(영동한양)","49.98","202203","23","243,000","9","1977","압구정로 321","","중개거래","서울 강남구"
"서울특별시 강남구 압구정동","486","0486","0000","한양4","101.09","202203","30","330,000","8","1978","압구정로 313","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 압구정동","369-1","0369","0001","현대1차(12,13,21,22,31,32,33동)","196.21","202201","18","800,000","9","1976","압구정로29길 71","","중개거래","서울 강남구"
