시	군/구	동	단지명	전용면적(㎡)	계약년	계약월	계약일	거래금액(만원)	층	건축년도
서울특별시	강남구	개포동	개포우성3차	104.43	2021	7	13	245000	14	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	7	28	249500	8	1984
서울특별시	강남구	개포동	개포자이(12-2)	134.3	2021	1	13	239500	8	2004
서울특별시	강남구	개포동	개포자이(12-2)	134.3	2021	1	21	200000	13	2004
서울특별시	강남구	개포동	개포자이(12-2)	170.32	2021	1	30	270000	19	2004
서울특별시	강남구	개포동	개포자이(12-2)	153.8	2021	5	11	260000	21	2004
서울특별시	강남구	개포동	개포자이(12-2)	134.3	2021	5	19	239850	6	2004
서울특별시	강남구	개포동	개포자이(12-2)	170.32	2021	5	27	260000	6	2004
서울특별시	강남구	개포동	개포자이(12-2)	134.3	2021	6	16	200000	20	2004
서울특별시	강남구	개포동	개포자이(12-2)	134.3	2021	8	19	254000	1	2004
서울특별시	강남구	개포동	개포주공5단지	83.17	2021	4	26	270000	9	1983
서울특별시	강남구	개포동	개포주공5단지	83.17	2021	5	18	273000	1	1983
서울특별시	강남구	개포동	개포주공5단지	83.17	2021	5	28	280000	7	1983
서울특별시	강남구	개포동	개포주공5단지	74.25	2021	6	24	273000	10	1983
서울특별시	강남구	개포동	개포주공5단지	83.17	2021	10	6	279500	1	1983
서울특별시	강남구	개포동	개포주공5단지	83.17	2021	10	31	285000	2	1983
서울특별시	강남구	개포동	개포주공6단지	53.06	2021	1	1	178000	3	1983
서울특별시	강남구	개포동	개포주공6단지	53.06	2021	2	1	200000	12	1983
서울특별시	강남구	개포동	개포주공6단지	73.02	2021	2	28	240500	7	1983
서울특별시	강남구	개포동	개포주공6단지	73.02	2021	3	31	226000	7	1983
서울특별시	강남구	개포동	개포주공6단지	83.21	2021	5	15	260000	3	1983
서울특별시	강남구	개포동	개포주공6단지	83.21	2021	7	24	285000	3	1983
서울특별시	강남구	개포동	개포주공7단지	60.76	2021	1	7	200000	9	1983
서울특별시	강남구	개포동	개포주공7단지	53.46	2021	1	14	180000	11	1983
서울특별시	강남구	개포동	개포주공7단지	73.26	2021	1	30	235000	1	1983
서울특별시	강남구	개포동	개포주공7단지	73.26	2021	1	30	235000	1	1983
서울특별시	강남구	개포동	개포주공7단지	53.46	2021	4	21	206000	9	1983
서울특별시	강남구	개포동	개포주공7단지	83.7	2021	5	12	275000	8	1983
서울특별시	강남구	개포동	개포주공7단지	73.26	2021	5	29	260000	8	1983
서울특별시	강남구	개포동	개포주공7단지	53.46	2021	6	16	225000	13	1983
서울특별시	강남구	개포동	개포주공7단지	83.7	2021	7	16	287000	11	1983
서울특별시	강남구	개포동	개포주공7단지	83.7	2021	8	20	280000	2	1983
서울특별시	강남구	개포동	개포현대200동	82.2	2021	1	22	192000	8	1986
서울특별시	강남구	개포동	경남1	123.28	2021	1	7	268000	1	1984
서울특별시	강남구	개포동	경남1	166.48	2021	1	9	298000	1	1984
서울특별시	강남구	개포동	경남1	96.98	2021	3	11	235000	3	1984
서울특별시	강남구	개포동	경남1	123.28	2021	5	7	320000	4	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	2	5	327000	11	1984
서울특별시	강남구	개포동	경남2차	186.16	2021	2	6	332000	14	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	3	15	300000	1	1984
서울특별시	강남구	개포동	경남2차	91.91	2021	3	26	230000	15	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	4	12	325000	3	1984
서울특별시	강남구	개포동	경남2차	149.21	2021	4	26	303000	14	1984
서울특별시	강남구	개포동	경남2차	149.21	2021	4	26	303000	14	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	5	8	323000	1	1984
서울특별시	강남구	개포동	경남2차	149.21	2021	7	23	328000	3	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	8	25	380000	10	1984
서울특별시	강남구	개포동	경남2차	182.2	2021	11	28	380000	2	1984
서울특별시	강남구	개포동	뉴현대파크빌	83.46	2021	3	31	71400	2	2001
서울특별시	강남구	개포동	뉴현대파크빌	69.16	2021	7	26	61000	5	2001
서울특별시	강남구	개포동	디에이치아너힐즈	84.6348	2021	1	22	274000	20	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8732	2021	3	2	215000	15	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	3	9	258000	11	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.7479	2021	3	27	213000	7	2019
서울특별시	강남구	개포동	디에이치아너힐즈	84.357	2021	4	4	266000	20	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	4	23	259000	6	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	4	27	244000	15	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8732	2021	5	15	218000	7	2019
서울특별시	강남구	개포동	디에이치아너힐즈	106.67	2021	5	26	398000	6	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8072	2021	6	5	215000	7	2019
서울특별시	강남구	개포동	디에이치아너힐즈	49.4013	2021	6	5	182000	5	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8072	2021	6	5	215000	7	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	6	12	286000	12	2019
서울특별시	강남구	개포동	디에이치아너힐즈	94.8407	2021	7	23	342000	25	2019
서울특별시	강남구	개포동	디에이치아너힐즈	84.357	2021	7	29	285000	9	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8732	2021	8	17	233000	4	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8732	2021	8	25	226000	4	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.7479	2021	9	11	235000	9	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	9	28	300000	26	2019
서울특별시	강남구	개포동	디에이치아너힐즈	94.2875	2021	10	2	340000	19	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.7479	2021	10	8	230500	5	2019
서울특별시	강남구	개포동	디에이치아너힐즈	76.1709	2021	10	13	299500	3	2019
서울특별시	강남구	개포동	디에이치아너힐즈	84.3558	2021	10	25	265000	29	2019
서울특별시	강남구	개포동	디에이치아너힐즈	84.6348	2021	11	6	312000	16	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.8732	2021	11	27	230000	6	2019
서울특별시	강남구	개포동	디에이치아너힐즈	59.7479	2021	12	24	235000	15	2019
서울특별시	강남구	개포동	래미안블레스티지	59.888	2021	1	7	200000	2	2019
서울특별시	강남구	개포동	래미안블레스티지	84.943	2021	1	14	267000	6	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	1	18	277000	23	2019
서울특별시	강남구	개포동	래미안블레스티지	49.909	2021	2	6	173000	10	2019
서울특별시	강남구	개포동	래미안블레스티지	84.943	2021	2	15	251000	1	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	2	16	210000	9	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	2	22	195000	5	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	3	9	277000	23	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	3	10	199000	10	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	4	1	214500	5	2019
서울특별시	강남구	개포동	래미안블레스티지	59.837	2021	4	13	204500	14	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	4	14	268000	25	2019
서울특별시	강남구	개포동	래미안블레스티지	59.897	2021	5	8	207500	8	2019
서울특별시	강남구	개포동	래미안블레스티지	84.95	2021	5	8	275000	7	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	5	18	280000	15	2019
서울특별시	강남구	개포동	래미안블레스티지	99.979	2021	5	30	360000	18	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	6	9	285000	23	2019
서울특별시	강남구	개포동	래미안블레스티지	126.928	2021	7	23	436000	18	2019
서울특별시	강남구	개포동	래미안블레스티지	84.943	2021	7	24	282000	11	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	8	7	289000	19	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	8	14	227000	10	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	8	16	224500	4	2019
서울특별시	강남구	개포동	래미안블레스티지	59.897	2021	8	19	219000	4	2019
서울특별시	강남구	개포동	래미안블레스티지	59.897	2021	8	19	219000	4	2019
서울특별시	강남구	개포동	래미안블레스티지	59.897	2021	8	21	225000	13	2019
서울특별시	강남구	개포동	래미안블레스티지	59.967	2021	8	31	230000	12	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	8	31	298000	35	2019
서울특별시	강남구	개포동	래미안블레스티지	49.909	2021	9	5	179000	6	2019
서울특별시	강남구	개포동	래미안블레스티지	84.943	2021	9	5	293000	11	2019
서울특별시	강남구	개포동	래미안블레스티지	84.943	2021	9	17	295000	12	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	10	9	320000	28	2019
서울특별시	강남구	개포동	래미안블레스티지	59.888	2021	11	11	230000	7	2019
서울특별시	강남구	개포동	래미안블레스티지	84.94	2021	12	31	316000	16	2019
서울특별시	강남구	개포동	삼익대청아파트	60	2021	1	4	157000	13	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	1	9	124500	1	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	1	11	125000	4	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	1	14	150000	13	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	1	15	160000	13	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	1	19	128000	5	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	2	3	145000	2	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	2	21	164000	6	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	2	22	161500	4	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	2	28	166000	6	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	3	2	151500	11	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	3	15	126500	6	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	4	15	168000	14	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	5	1	129000	13	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	5	29	170700	9	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	6	4	151500	12	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	6	8	149000	2	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	7	5	155000	4	1992
서울특별시	강남구	개포동	삼익대청아파트	51.12	2021	7	7	151000	12	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	7	10	175000	12	1992
서울특별시	강남구	개포동	삼익대청아파트	60	2021	7	22	175000	2	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	8	7	142000	8	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	10	4	144000	7	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	10	4	149500	2	1992
서울특별시	강남구	개포동	삼익대청아파트	39.53	2021	12	11	150000	4	1992
서울특별시	강남구	개포동	상지리츠빌	161.07	2021	7	10	350000	8	2003
서울특별시	강남구	개포동	새롬(1164-13)	59.67	2021	4	12	74800	6	2000
서울특별시	강남구	개포동	새롬(1164-14)	57.93	2021	3	25	53450	2	2000
서울특별시	강남구	개포동	새롬(1164-14)	57.93	2021	9	17	59000	6	2000
서울특별시	강남구	개포동	새롬(1164-14)	57.93	2021	9	17	64000	5	2000
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	1	4	150000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	1	10	127000	10	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	1	13	139000	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	1	14	153000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	1	15	145000	4	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	1	20	108000	11	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	1	21	111000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	1	21	111000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	1	26	133000	15	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	1	30	108500	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	1	31	109000	6	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	2	2	127000	1	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	2	3	145000	4	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	2	5	135000	14	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	2	23	108000	9	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	2	23	131000	14	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	2	23	114000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	2	24	128000	6	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	2	27	109000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	3	1	105000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	3	6	109000	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	3	29	136000	15	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	4	9	127000	11	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	5	5	114000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	5	5	108700	15	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	5	22	152000	10	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	5	22	127500	1	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	6	9	110000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	6	30	135000	14	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	6	30	135000	14	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	5	137000	15	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	7	7	159500	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	7	7	110000	15	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	10	139000	13	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	10	140000	10	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	7	12	168000	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	14	140000	7	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	17	135000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	17	135000	8	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	20	136000	5	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	7	21	120000	11	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	7	23	115200	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	7	23	139500	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	7	24	117000	12	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	7	29	120000	11	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	8	1	169000	10	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	8	4	119500	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	8	4	119500	3	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	8	6	141000	9	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	8	18	170000	4	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	8	29	125000	7	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	8	30	102000	4	1992
서울특별시	강남구	개포동	성원대치2단지아파트	33.18	2021	9	4	124500	9	1992
서울특별시	강남구	개포동	성원대치2단지아파트	39.53	2021	9	25	149000	10	1992
서울특별시	강남구	개포동	성원대치2단지아파트	49.86	2021	10	4	160000	10	1992
서울특별시	강남구	개포동	아람손프라자/비바빌	59.96	2021	6	15	52000	3	2001
서울특별시	강남구	개포동	아람손프라자/비바빌	84.96	2021	8	25	77000	5	2001
서울특별시	강남구	개포동	아람손프라자/비바빌	84.96	2021	8	25	77000	5	2001
서울특별시	강남구	개포동	에버그린	84.89	2021	10	15	120000	3	2003
서울특별시	강남구	개포동	우성8	78.93	2021	1	3	181000	3	1987
서울특별시	강남구	개포동	우성8	79.61	2021	1	11	200000	2	1987
서울특별시	강남구	개포동	우성8	79.61	2021	1	11	200000	2	1987
서울특별시	강남구	개포동	우성8	79.61	2021	9	26	250000	5	1987
서울특별시	강남구	개포동	우성9차아파트901동-902동	84.9	2021	1	11	241000	15	1991
서울특별시	강남구	개포동	우성9차아파트901동-902동	84.9	2021	5	22	268143	6	1991
서울특별시	강남구	개포동	우성9차아파트901동-902동	84.9	2021	10	16	245000	2	1991
서울특별시	강남구	개포동	우찬현대(1260-11)	59.7	2021	3	7	65900	6	2006
서울특별시	강남구	개포동	현대1차101동~106동	95.4	2021	1	1	215000	9	1984
서울특별시	강남구	개포동	현대1차101동~106동	177.19	2021	1	16	317000	4	1984
서울특별시	강남구	개포동	현대1차101동~106동	128.62	2021	2	3	270000	9	1984
서울특별시	강남구	개포동	현대1차101동~106동	177.19	2021	4	20	325000	12	1984
서울특별시	강남구	개포동	현대1차101동~106동	95.4	2021	8	23	254500	1	1984
서울특별시	강남구	개포동	현대1차101동~106동	95.4	2021	8	26	275000	8	1984
서울특별시	강남구	개포동	현대1차101동~106동	128.62	2021	8	28	320000	11	1984
서울특별시	강남구	개포동	현대1차101동~106동	177.19	2021	12	9	355000	6	1984
서울특별시	강남구	개포동	현대2	131.83	2021	1	9	265000	8	1986
서울특별시	강남구	개포동	현대2	84.81	2021	1	15	224000	5	1986
서울특별시	강남구	개포동	현대2	165.08	2021	1	30	310000	1	1986
서울특별시	강남구	개포동	현대2	131.83	2021	2	2	270000	3	1986
서울특별시	강남구	개포동	현대2	84.81	2021	5	8	248000	2	1986
서울특별시	강남구	개포동	현대2	84.81	2021	7	13	245000	6	1986
서울특별시	강남구	개포동	현대2	84.81	2021	9	3	260000	2	1986
서울특별시	강남구	개포동	현대3	163.85	2021	1	14	243000	5	1986
서울특별시	강남구	개포동	현대3	131.83	2021	4	24	290000	3	1986
서울특별시	강남구	개포동	현대3	84.87	2021	6	15	250000	8	1986
서울특별시	강남구	개포동	현대3	163.85	2021	8	10	390000	4	1986
서울특별시	강남구	논현동	e-편한세상	129.1841	2021	11	29	145000	7	2005
서울특별시	강남구	논현동	거평프리젠	30.215	2021	3	22	33800	9	1996
서울특별시	강남구	논현동	거평프리젠	30.215	2021	7	29	37000	10	1996
서울특별시	강남구	논현동	거평프리젠	42.015	2021	8	2	45000	11	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	8	11	49500	11	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	8	11	49500	11	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	8	25	48000	2	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	9	10	49600	8	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	10	8	47500	7	1996
서울특별시	강남구	논현동	거평프리젠	39.035	2021	10	22	49500	5	1996
서울특별시	강남구	논현동	경남논현	114.27	2021	8	30	172000	2	1996
서울특별시	강남구	논현동	논현동프라임	135.3	2021	1	26	123500	7	2004
서울특별시	강남구	논현동	논현동프라임	139.35	2021	2	10	120500	4	2004
서울특별시	강남구	논현동	논현동한화꿈에그린	67.671	2021	4	13	128000	10	2005
서울특별시	강남구	논현동	논현동한화꿈에그린	67.671	2021	8	23	133000	9	2005
서울특별시	강남구	논현동	논현라폴리움	240.03	2021	4	23	446000	6	2012
서울특별시	강남구	논현동	논현라폴리움	240.03	2021	10	7	460000	8	2012
서울특별시	강남구	논현동	논현베르빌	113.84	2021	4	18	101000	2	2002
서울특별시	강남구	논현동	논현베르빌	111.08	2021	7	24	130000	3	2002
서울특별시	강남구	논현동	논현아이파크	59.75	2021	1	18	164000	15	2020
서울특별시	강남구	논현동	논현아이파크	47.46	2021	2	27	130000	3	2020
서울특별시	강남구	논현동	논현웰스톤	83.64	2021	4	23	111000	2	2009
서울특별시	강남구	논현동	논현웰스톤	101.04	2021	4	28	120000	5	2009
서울특별시	강남구	논현동	논현파라곤	117.84	2021	8	17	172000	9	2007
서울특별시	강남구	논현동	논현파라곤	170.57	2021	8	23	210000	14	2007
서울특별시	강남구	논현동	더그레이스	98.81	2021	5	19	95000	2	2003
서울특별시	강남구	논현동	동부센트레빌	114.498	2021	2	5	220000	18	2003
서울특별시	강남구	논현동	동부센트레빌	84.9875	2021	2	18	179500	20	2003
서울특별시	강남구	논현동	동부센트레빌	114.498	2021	7	16	240000	6	2003
서울특별시	강남구	논현동	동양파라곤	208.35	2021	1	28	355000	7	2004
서울특별시	강남구	논현동	동양파라곤	180.07	2021	2	7	305000	9	2004
서울특별시	강남구	논현동	동양파라곤	213.98	2021	3	4	320000	2	2004
서울특별시	강남구	논현동	동양파라곤	157.41	2021	4	24	285000	3	2004
서울특별시	강남구	논현동	동양파라곤	180.07	2021	4	24	315000	3	2004
서울특별시	강남구	논현동	동양파라곤	160.33	2021	5	12	330000	11	2004
서울특별시	강남구	논현동	동양파라곤	157.41	2021	5	17	316000	1	2004
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	1	8	176000	10	1985
서울특별시	강남구	논현동	동현아파트1~6	119.67	2021	1	11	182000	1	1985
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	1	15	167000	1	1985
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	4	20	180000	2	1985
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	4	29	186000	7	1985
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	8	21	227000	10	1985
서울특별시	강남구	논현동	동현아파트1~6	84.92	2021	9	4	225000	11	1985
서울특별시	강남구	논현동	두산위브2단지	84.721	2021	1	25	160000	4	2004
서울특별시	강남구	논현동	두산위브2단지	84.253	2021	7	22	180000	7	2004
서울특별시	강남구	논현동	두산위브2단지	106.829	2021	9	10	200000	13	2004
서울특별시	강남구	논현동	두영	85	2021	1	13	91000	4	2004
서울특별시	강남구	논현동	두영	84.84	2021	11	2	73000	4	2004
서울특별시	강남구	논현동	라이헤스빌	82.67	2021	1	2	80500	4	2002
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	1	21	36000	10	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	1	31	35300	10	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	2	15	35000	5	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	3	29	35000	10	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	4	1	35000	10	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	4	15	34500	6	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	2	34000	15	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	11	34500	11	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	15	33300	4	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	24	32000	5	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	28	35000	12	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	5	31	37500	14	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	6	5	37000	15	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	6	5	40000	13	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	6	10	34781	3	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	6	10	34781	3	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	7	15	36000	3	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	7	27	39500	14	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	8	3	38000	9	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	8	10	37000	7	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	9	2	41300	14	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	9	5	42300	12	2004
서울특별시	강남구	논현동	마일스디오빌	36.29	2021	10	1	40000	5	2004
